doc,label,completion
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_164,," 1. Les navires sur un monstre marin géant provoquent une controverse internationale et font entrer une équipe dans un expédition au bord de l’Abraham-Lin. Tous les bateaux qui entrent dans la zone sont presque tous mis en péril. Ils abandonnent l’expédition. 2. L’expédition déroute vers l’île Vanikoro, où trouvent les vest""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_136,,"<s> [/INST] , le texte décrit des événements historiques et sociaux de la région de la Sonora dans les années 1850. Une grande partie des personnages décrits par le texte étaient effectivement vissus par le narrateur. Ils se trouvaient habituellement sur la rivée gauche du Río Grande, autour de Santa Teresa de Cárteres, au New Mexico. Les tue""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_138,,"<s> [/INST] un compte partagé entre trois bons dames et une bonne bonne cherie par leur garde-devoir, M. Sernine se trouvent sur un bateau à la prochaine nuit et s’apprête à découvrir les secrets que cela emporte avec lui. M. Sernine et sa compagnie sont à l’heure de faire caravane, et c’est le""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_156,,"<s><s> [/INST] onnales et pas longues. Donne une vingtaine de phrases maximum. Sois cohérent.  —\xa0Cet objet m’expliquera tout, milord, répétait lévement la mère. — C’est bien, poursuivit maistre Jack, cette fleur est un bon talisman.  — C’est pas possible\xa0! s’écria le vic""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_84,,"<s> [/INST] une histoire d'exposition de gros navires aux dangers marins. Quid pro quo de la part de l'institut international pour la science maritime et le sauvetage des nageurs. Projet de prévention des accidents de dérive à Sault-X-Jours. Les affaires en cours mènent le profiteur vers des parties reculées du pays, où on le menace de mort pour""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_173,,"<s> [/INST] on, 34, rue Jacob.  –\xa0M. le baron de Gondo va-t-il faire bâti la même année ?  –\xa0Non, il n’a pas le choix. Il va se contenter de mettre ses domestiques à la disposition du baron d’Altenheim, dans le cabinet de la banque Sino et Cie.  –\xa0Comment ça ?  –""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_200,,"<s> [/INST] Une enquête sur une certaine personne découvre un passé complexe et le fait se retourner, un homme poursuit son amant, un enfant de six ans a des flashs mémoriels d'un homme qu'il a suivi, un homme est contraint de quitter la voisine de sa femme car il est le vrai père naturel de la fille du voisin, des enquê""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_199,,"<s> [/INST] Un groupe de personnes est kidnappé à bord d'un mystérieux sous-marin par des étrangers alors qu'ils naviguaient dans l'Océan Pacifique. Le capitaine Nemo, un mystérieux homme sans identité, a fait construire le Nautilus, un sous-marin de grande taille extrêmement avancé et à maniabilité extraordinaire grâce""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_150,,"<s> [/INST] Une femme charmante et un homme obsédé par les crimes étudient leurs journaux judiciaires mondiaux. Dans une ville de province, une femme est condamnée d'infidélité, mais malgré les preuves de son innocence. Un écrivain s'inspire de la complexity des relations familiales de la ville de Philadelphia pour créer ses personnages de romans. 4""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_47,,"<s> [/INST] À la fin de la séance, deux enfants s'engagent d'un pas precipité dans l'allée des Moucheurs, c'est-à-dire le chemin vicinal. À gauche, au milieu des verreries, on aperçoit un homme qui se tient en arrière de l'échafaudage, le regard posé sur l'eau, le poing tendu au""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_48,,"<s> [/INST] — ce matin, l’inconnu vient pas passer son idée au coin de la rue d’Orchimont, elle n’évolue qu’à la fin de l’après-midi, et elle n’est pas tout à fait certaine. ça n’a rien d’extraordinaire non plus au petit café qui s’occupe d’hôtellerie, avec un""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_155,,"s><s> [/INST] Un jeune homme, Antoine de Peyrolles, retourne dans sa ville natale, Guastalla, et provoque une lutte de pouvoir et de manipulations autour de l’héritage d’un souverain mourant, le duc de Mantoue, dont le pouvoir est contesté par divers personnages aux intentions douteuses. Le duc, lui aussi, se dirige vers""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_70,,"<s> [/INST] , et utilise pas de dialogue ou de narration intérieure. Récisement, expliquez comment le docteur, à la sœur de Raymond, qu’elle aperçoit le corps de Raymond dans son lit, mort.</s>""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_203,,"<s> [/INST] ¡. ¡. C'est ainsi que nous avons évolué, disait le lieutenant. Nous avons tout entendu, tout compris, tout réfléchi. Lupin a été reconnu et connu, son apparence a été troublée par les événements, puis sa vie est rentrée dans l'ordre, et on retrouve le même Lupin à la même fois""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_15,," [/INST] de la chevauche avec une femme, dont le regard insomnie le traçait, malgré le manque d’espérances proches qui paraissait le caractériser. cette femme, qui semblait être la sœur de la baronne, était une femme étrangère. cependant, chambras eut à se souvenir de la photo de la servante de mme de george qui était arriv""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_23,,"<s> [/INST] Â. Il était arrivé que le maître de la hôtel de Valmy n’eût eu moyen de lui payer qu’un petit salaire et il s’épuisait lentement. Ça.  Dès que il a été dit qu’il pourrait avoir cette nouvelle femme, il n’en aura pas le temps. Ça.  C’est-à-dire que si, les""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_26,," [/INST] . J'aime. Je me suis rendu dans une foire pour trouver un enfant comme vous.  Voilà le résumé des trois phrases du livre.  Clément, Max et leur ami Jean, se rendaient auprès de Clément. Clément s'était effrayé, et les hommes étaient rares dans les dépressions. Son visage pâle, sa déroulemente s'""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_281,,"En un château en ruine, le chien ronfle, deux personnages étrangers à la place et au temps où nous sommes, un groupe de comédiens, quatre femmes, dont l'une est le fils du marquis, on trouve un taurillon et des chiens. Ismaïl, un gougne, en pleine folie et sans vêtement, est découvert par un groupe de comédiens""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_143,," [1](#note1)[/INST] Le roman, qui a une durée de 9 heures et un quart, raconte la vie d'une jeune femme, Jeanne, qui, orpheline, est envoyée, contre son gré, à la maison des pauvres. Sur un couloir, elle rencontre une femme se marrant, mademoiselle Jacqueline. Quelques années plus tard, Jean""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_78,,"<s> [/INST] 1. L'héritage du prince Frédéric-Charles-Henri de Gonzague-Mantoue et duc de Guastalla est l'objet d'une bagarre politique et amoureuse d'une part, puis de complots et de luttes de pouvoir d'autre part, et ce qui fonde ces combinaisons politico-amoureuses est le raré""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_29,," [/INST] à passer à tout a coup ! et puisque je suis à vous, l’auteur de cette calamité, donnez-moi la garde de mon fils et j’étais la seule vie entre tous ! mais je le perdus… et puisque, vous êtes un avocat, vous qui avez donné ton cœur à ce misérable, moi, j’avais mis ma femme et""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_17,,"<s><s> [/INST] , l’homme aux haricots réclame le paiement de ce qu’il lui a promis, la baronne menace d’en dire un mot, celle-ci est effrayée mais pas empressée à parler. Le résumé dans three mots : « Baronne en difficulté au mont-de-piête à cause d’un vol commis par son petit-fils. »  Georges""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_174,,"<s> [/INST] . Le capitaine Nemo a mené le Nautilus sur deux îles disparues de La Pérouse, et c’est avec un mystérieux objet qui lui a été amené que je suis venu le rencontrer.  Dans la partie précédente, le narrateur apprend que le capitaine Nemo a mené son équipage sur l’île de Tahiti et que c’est là qu’""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_235,,"<s> [INST] A partir de ce résumé, vous dites que cet extrait appartient au genre de la littérature française ? Il n'est possible que votre analyse n'ait pas été correcte, car ce n'est pas l'extrait d'un roman. Il s'agit en effet d'une partie d'introduction d'un article qu'il est possible que vous avez copié ou repris en""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_174,,"<s><s> [/INST] . Jouissez-vous beaucoup ici\xa0?  —\xa0Je ne mange pas dans cette ville.  —\xa0Le pape\xa0?  —\xa0Non, si ça vous plairait de savoir. Je ne me présente pas d’autre bonne occasion pour vous demander mon identité. Tenez donc. Je suis un doménique, je suis français... Lisez donc ma car""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_75,,"<s> [INST] 12. (V) La vie au château. Là, il est bon que nos lecteurs s’étendent le corps de l’écrivant les deux premiers chapitres ; les suivants sont des petits passages de comédie que vous saurez lire de la tête. — 13. Des passages d’un livre de chasse que vous pourrez lire de la tête. Les coméd""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_63,," [/INST] Des intrigues de meurtre et de vol se déroulent autour d’un mont-de-piété de Paris qui accueille un clientèle variée. La disparition de Marcel de Color se produit peu après. Il s’agit de découvrir de sérieux soupçons à son égard qui ont abouti à son arrestation. Toutefois, des découvertes plus tard sont fait""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_11,,"<s> [/INST] , ce passage vient à propos de l’émission de la France, et ce chapeau vous gagnera un petit petit salaire, n’est-ce pas, avec un petit peu de gros billons pour votre lait\xa0? Une mère qui n’arrivez pas à rendre compte, qui vient de donner un coup sec à l’entente, a besoin de repartir en dès qu""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_104,,"<s> [INST] INFORMATIONS VIDÉO\n /******/\nLe grand chien blanc a disparu. La bande de l’Océanic a été contrôlée, c’est-à-dire que le domaine, à ce jour, n’abrite que le marquis d’Ivanoff, qui est la réponse à l’invitation qu’on lui a laissée, et sa bonne femme.  Ils sont les""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_236,,"� de l'Affaire Taburet 258 \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0»  [/INST] Le « résumé » proposé au début du texte est fort incomplet, car il coupe tout court les réflexions et les""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_157,,"s><s> [/INST] ite\xa0: Dans cette ville imaginaires, un étranger vient s’établir. En dépit de son origine et de son caractère, il est accepté et admis par les habitants. Il aide les pauvres, les fianches et la commune. À cause de l’éclaircie de d’Everton sur l’identité du duc de Mantoue, l’""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_54,,"<s> [/INST] on s'est rencontré trois jours auparavant dans la rue… ça lui semble presque impossible de n'avoir pas pu apercevoir de cette lumière, au moment que lui a éclairé la rue… une femme qui serait en colère le jour-là, avec son poids sur la poitrine, qui a rechigné sur tout les choses, la fée de la""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_57,,"<s> [/INST] On part à la recherche d'une caroube géante, elle se retrouve en prison dans un sous-marin. Ce dernier possède un arsenal d'armes. Il a aussi des trésors et on est en présence d'une femme prisonnière.</s>""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_193,,"<s> [/INST] Le livre raconte le décès d\xa0une femme d'une ville française et le meurtre d'un homme survenu d\xa0une nuit. La police est mis sur la trace d'une des victimes. Sur la base d'une témoignage anonyme, une piste amorante entre deux personnes, une affaire de vol, des enquêtes s'ouvrent, des soupç""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_352,,"<s> [/INST] Ce résumé a été fourni par le robot Poule, qui a lu et analysé le texte du roman. Il détaille les principaux événements et personnages du livre. Le roman est un gothique où l'on suit les pérégrinations d'un noble déchu, les intrigues, les rivalités et les passions de ses compagnons. Dans le château, il y""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_41,," [/INST] Un groupe d'amis discutent des aspects troublants et mystérieux de la vie. Clément, un homme en difficulté financière, entre en discussion avec un prêtre. Des événements mystérieux mettent en lumière les luttes intérieures et les revers financiers de Clément. Des questionnements sur la moralité et la souffrance se posent entre Clément et Son ami Max, et""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_54,,"riel du palais, à la mairie et à toute la rue d’Enghien, qui se tourne, à la fin de la boulevard, vers la rue de Lille. Les marraines, ou encore le baron d’Askof, furent arrêtés dans le salon de la Maison Blanche comme dans les hôtels du palais de l’Opéra ou du Vaudevillard, où on s’en""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_0,,"<s> [/INST] éles furent renversées comme une maison de strawberry qu’on avait longuement entamé. — Comment cela aussi ne laurait-il pas, murmura le magistrat, en se rendant plus tard compte que le bruit ne cessait point ; les plumes des birds s’expliquaient ainsi en grillants cris auxquels se mêlaient les petits bruits des gorges""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_194,,"<s> [/INST] , puis précisa au long de son récit, sans jamais s’éloigner des événements qui se passaient devant lui. Le texte décrit en détail un château abandonné en Gascogne sous le règne de Louis XIII, envahi par la végétation, avec des éléments architecturaux et naturels témoignant de sa gloire passée, reflétant""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_66,,"<s><s><s> [/INST] -ralement possibles et exprime la pensée la plus vive. Fille de marchese, voici un résumé de l’événement repertorié dans les pages suivantes. 240 pages sont la mesure de la vie de François Maufort, dont le commencement tragique et le développement sont inscris dans un roman autant inoubliable que réussi. Il ne""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_112,,"<s><s> [/INST] . Il se retrouve sur la bande de rue. Puis vient le poulot dans la cabane en bois carreaux et le baratin avec le pachyderme. Déjà une minute tard, il a le sentier et est en direction du coin du village. C’est au poids de maître Gilbert que les échanges sont infiniment plus simples. Lupin dépose la petite p""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_47,,"<s> [/INST] en fait de l'histoire de la vie, il est clairement établi que la démarche entraîne une double inquiétude, surtout pendant les première nuit. Le jour suivant, cette inquiétude mène à un incident malheureux et finit par une rencontre avec un homme qui s'en trouve attiré. Vous ne le voirez pas en lis""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_159,,"<s> [/INST] L'histoire suit la vie quotidienne de ceux qui se trouvent à l'hôtel de Temple, une institution qui accueille un pan entier de la population de Paris. Le contexte est celui du fin de siècle, le temps d'une industrie explosion, et la bande-son est très colorée, avec des personnages aussi variés que des riches aristocrates et qu'une petite""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_68,,"<s><s> [/INST] i ! s’il est nécessaire dans une de ces trois phrases. » L’auteur s’applaudit comme si cette phrase de l’auteur fut l’épitome d’une phrase parfaite. Et il en continua par une autre, qu’il interpréta comme une première phrase : « M. Gourel et moi ne sommes pas seuls dans l’île. J’affir""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_174,,"<s><s> [/INST] . 308\xa0! La voiture a un chauffeur et un passeur\xa0! 309\xa0! Passer par la chambre de la veuve Lerouge dans le sous-sol\xa0! Elle attend\xa0! 310\xa0! Une voiture avec un chauffeur et un passeur\xa0! Entrer par la porte arrière\xa0! Elle doit être attentive\xa0""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_89,,"<s> [/INST] . La bande, sûre de se lancerer sans péril, a ouvert un feu d’artifice de 50 bouches de mitrailleuse, puis les trente cavaliers et le chef Masala ont partagerie les deux avionnettes et pris le contre-la-mers pour descendre sur New York.  Mais l’attaque maritime que la bande a menée contre Londres""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_364,,"� la maison de Léandre, la chapelle de Prou, le logement du roi de Morvan, la salle des gardes, et le château du président du Petit-Lyon ; la cour est dépouillée de ses malféasantes, remise à l’état de négligence et abandonnée. ¬\xa0Son ami, l’hôte, qui était plus riche que Loud""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_108,,"ières, parmi eux. Donne le résumé de la scène dans la chambre des trois maris où décident l'aventure du duc. A la fin, il ne faut pas oublier de renvoyer au plan de la maison Rouleau. — Je ne comprendrai jamais les amoureux.  Elle savait cela depuis longtemps, cet esprit fin, trop délicat et touch""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14,,"<s> [/INST] C’est l’affrontement, le duel, entre Beaumarchef, un gentilhomme et un misérable qui se présentait à l’abri des portes du château. Un coup de sabre, ou l’autre, avait brûlé un pognon de Beaumarchef, lequel avait disparu dans l’arègue. Des voix hautaines grondissa""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_177,," [INST] 2. Le résumé de votre ouvrage. 3. Sa date, son lieu d'édition et les noms de son auteur ou de son éditeur. 4. Deux ou trois des titres les plus remarquables de l'œuvre. 5. Deux ou trois questions qui se dressent sur la lecture de l'œuvre. Quelles preuves apportons-les, quels documents just""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_21,,"<s> [/INST] ille est un «\xa0doux garçon\xa0], mais sans charitié vers lui, car le roi s’est étonné du silence de M.\xa0de\xa0Freudenberg sur la scène du tragique, et a exigé à la cour d’un miroir pour qu’elle remplace le portrait de son fils. Il y voyait un malheureux se laisser frapper""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_354,," 3) une faute lourde est découverte dans la bête de chasse en cours de chasse, l’évènement se passe aux années 1980, le personnage s’appelle Pierre, il est à l’équipage du bateau. 4) un homme est déchiré en partie et s’apprécie un peu trop à voir, son visage est découvert : c’est""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_130,,"ires, il est la proie de créatures gigantesques. Des navires sont capturés par un pôle géant. Le capitaine Nemo, qui est le chef de l'équipage, tente de savoir l'origine de ces événements. Il a un sous-marin nommé le Nautilus, mais il ne sait pas où il s'agit. Il décide de traverser le monde. Dans la seconde""]"
