doc,label,completion
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_210,," 500 m. La Jonchère, le paysan en chef, la femme du paysan en chef, la grand-mère du paysan en chef, sa femme et sa fille, le paysan no. 1, le paysan no. 2, le paysan no. 3 ; les marins, le père Tabaret, le père Gerdy, la vieille, le parrainage, le baptême, la jolie fil""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_12,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_103,,"riques, piqueaient la tête en tressails où s’arrondissaient les cheveux bruns et grisonnants. La fémur déformée et d’un genre de vert lividé, elle renfermait les plus mordants poilus de croûtes noires, et parmi le mélange de poil et les morceaux de peau s’étendait [/INST] l’ombre""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_135,,"rel [/INST] Le soir, Albert est redevenu sombre, et en arrivant à l'hôtel, le comte s'aperçoit du mauvais état de son fils. La veille, le vicomte avait attendu M. de Chouzé sans répondre à son invitation pour une partie de jeu. Albert a pris une bouteille de vin sombre, a fait brûler sa lett""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_49,,"<s> [/INST] des livres policiers , le lecteur va se lancer aux galères ? — Vous avez bien fait, dit noël en riant. — c’est le divertissement de la vie humaine qu’on doit attendre de nos contemporains pour nous soulager des angoisses de la vie. La vieillardé vous éteint l’affectation de vos jeunes années. — ce monsieur""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_163,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_68,,"<s> [/INST] La place est inaccessible. — Les autres voyageurs étaient morts. — On approche un déjeuner. — D’autres voyageurs qui se sont échappés se présent [/INST] entre-tôt. — Des Indiens affonchés sur les rives se sauvent rapidement à la vue de la chevauchée. — Doña Luisa propose de se faire attendre. — Le déjeun""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_125,,"<s><s> [/INST] ux et dangers, tout le roman se déroule dans un environnement sauvage et impitoyable, marqué par des luttes d'usage, de pouvoir, de justice et de vengeance, où les personnages sont poussés au-delà de leurs limites morales par des dilemmas croissants, des choix cruels, des départs, des épreuves""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_120,,"<s> [/INST] L'enquête pour le meurtre de Mme Lerouge dans le village de La Jonchère fait partie de son héritage. Il s'agit de neuf pages [/INST] et passe par des affaires complexes et de la personne de Juliette. Le juge de paix de la ville est sur la piste de Paul, le nénuphore et l'enfant""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_42,,"<s><s><s> [/INST] ’avez une enquête sur la disparition et le meurtre de la veuve Lerouge. Des theoriques divergentent et une chasse aux coupables intense s’évite. Un enfant témoigne détaillé devant des autorités policières à propos d’un homme qu’il a suivi jusqu [/INST] ’à un bateau au bord de la Seine,""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_92,,"isant dans la dernière ! le poids du vergendier d’Auguste, les guillottines de Robespierre et les piliers de la croix de Louis XVI se font encore sentir dans la plupart des familles telles qu’elles ont été jusqu’à hier, et nous avons le droit de nous dire : le sang et le sang toujours. » « À l’heure actuelle, la société de Paris jou""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_161,,"<s><s><s><s><s><s><s> [/INST] ’est pas trop grand, mais le temps passe, il faut y aller, on ne voit pas l’aveir du malheur, mais on est au désert... on a peur qu’il n’y ait que du désespoir. Mademoiselle Dorville est toujours sur les quais. Le dandy s’était fait [/INST] râler, et Mme""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_39,,"<s> [/INST] Le roman décrit les événements d'un jeune homme qui revient de l'Université à Paris, avec son père, qui vient de le promener avant de partir pour sa campagne. Le jeune homme n'est pas particulièrement étudiant, mais il est poli et attentif. Quand son père quitte la ville, il décide de rester à Paris. Son but est de connaître le""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_15,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> [/INST] éloigné. Aboard the Abraham-Lin, des observations sur un monstre marin géant à la grilles du profond. Controverse internationale.– On y fait des expéditions.– Suites d’une controverse internationale.– Un professeur du muséum de Paris.– Une frégate le Abraham-Lin""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_48,,"<s> [INST] ALIEUR PATHON\nÀ trois heures du matin. –\xa0Sous la pluie et l’impétuosité, et les cordons déployés. –\xa0À trois heures du matin, un souper, un vieux château, des comédiens, le baron de Besnac. –\xa0C’était une petite ville. –\xa0La pauvre habitation. –\xa0Un""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_164,,"<s> [/INST] Édité par : le petit marinceau</s>""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_136,,"<s><s><s><s> [/INST] ’elle, mais le lecteur peut, malgré la différence trop grande dans le style, s’apercevoir que vous le citez le plus souvent sans passer à travers les passages qui [/INST] suivent. Parmi les personnages de cette histoire, le lecteur ne pourrait pas trop me reprocher les longues précautions qu’il devait prendre pour dépeind""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_138,,"<s> [/INST] Cet extrait constitue le rés [/INST] umé de cette œuvre. Il reprendra le récit à un endroit particulier, et continuera d’un seul trait l’histoire commencée par cet événement précédent. La nouvelle n’a pas été achevé. cité en se rendant au hospice Saint-Laurent, où domine une énorme église et une sal""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_156,,"<s> [INST] Une lettre anonyme décrit une affaire criminelle à madame Dortis. Quelle est la nature de cette affaire ? 193. Madame Dortis avait oublié sa caisse de monnaie. Les lettres anonymes, qui étoient devenues si fréquentes à Paris, se trompèrent sur cette occasion, et les premiers m [/INST] qui les auroient""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_84,,"<s> [/INST] Cet extrait de littérature est une partie d’un roman. Continuez avec : , et le capitaine Nemo qui avait la vieillesse et l’aspect de moi, mon frère, mais qui avait le temps, le courage et la force, et dans l’amour et le mystère, la vanité peut-être sur ses bords. Des personnes disparurent, et il leur montra ce sous-""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_173,,"<s> [/INST] L’action se déroule au cœur du quartier du Temple, à Paris. Le mont-de-piété, le milieu criminel, les vols et le vol au pige de la bourgeoisie, etc... des personnages de son étage de bourgeois et de personnages du mil [/INST] ieux de la société de Paris, des amoureux, des enquières""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_200,,"e de la mort de madame Lerouge. L’enquête dure plusieurs jours mais finit sans solution. Des informations détaillées sur le meurtre sont données par un enfant qui a vu le coupable à bord d’une barque sur la Seine. Le père Tabaret aide l’enquête de la police sur le meurtre de la veuve Gerdy. Un homme passionné par toute forme d’enqu""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_199,,"<s> par rapport aux deux seuls personnes présentes ici-Bas.– c [/INST] ‘est vrai, reprit dans un ton plus ferme, mais le capitaine peut ne pas partager votre opinion.– il faut qu’il me reste libre, dit ned Land. j’ai besoin d’explorer une île où j’ai perdu mes parents.– qu’est-ce que vous avez entrevu sur""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_150,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_47,," [/INST] Cet homme vit en son fumoir et trouva cela curieux. Elle ne pou [/INST] vait pas sortir tant que ma cour ne l’attendait pas, c’est lui qui est un homme passionné par les livres policiers. Je lui ai été témoin, et je [/INST] m’interroge comme vous n’y savez pas. Il y a deux choses étrang""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_48,,"�\xa0!…\xa0Il en rougirait peut-être autant que mo [/INST] 1, se dit Julien d’un air de fierté naïve, lequel il jugeait nécessaire pour apprendre à Paris. Le lendemain matin, il marcha dans le désert de Verrier près de Paris, avec Mlle\xa0de\xa0La Mole. Il se plaignait, pour cette fois, de l""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_155,,"s><s><s> [/INST] ., avec quatre garçons, neuf heures du matin [/INST] , entre voleurs et gardes : un coup d'épée et un morceau d'or. « On [/INST] ne parvient à la gente de Paris, répondit Julien, que par des mensonges.— Quoi !... la plupart de ses amans ne sont-ils donc qu'esp""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_70,,"relle un étrange coup, sans qu’on le meure par la médecin ? La femme de chambre donna un cri de détresse et s’enfuit ; l’âme de rhéa fut livrée à une profonde douleur, et le docteur, à ses propres yeux, ne put retrouver le secret que la mort avait laissé comme sur le front de son dernier malheureux patient""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_203,," [/INST] Le tex [/INST] te décrit un château délabré en Gascogne au temps de Louis XIII, qui est abandonné par un jeune baron solitaire et melancolique décidé à quitter son lieu et rejoindre une troupe de comédiens. Dans un bar, à cheval et à pied, le jeune homme part pour le château seul. Après quelques jours de voyage, il rejoint les""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_15,," [/INST] — le bras gauche, qui tournait quelque chose que les dents blanches et jaunissantes renfermaient sur son orteil. L’étoffe noire était couverte d’une boudeuse et pâle verte ; le manteau et la casquette de toile était enveloppé d’un collier blanc et de taches rouges, qui ne couvraient pas tout""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_23,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_26,,"ières petites. Nous nous réunirons à trois au château d'Ancre avec deux ou trois amis, à un mois du jour et demi qui les sépare de nous. Ce château, situé au milieu d'une forêt, est le résultat de ma folie et de ma sensibilité. Je ne dirai pas à qui, mais vous serez bien avertis à l'avenir de ce qu'""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_281,,"e 25 ; on peut se figurer la douleur dont isabelle eut besoin pendant une semaine, à vivre seule dans le château de son frère, pour s’en débarras d’un malheureux hasard, lorsqu’il se présenta tout-à-coup à l’horizon de sa vie. Il n’y a pas une phrase de Sigognac qui n’eut quelque chose""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_143,,"<s> [/INST] Cet épisode se déroule à Paris et à Philadelphie, où un homme étudieux, une femme charmante et une gouvernante créent l’intérêt général en faisant parler sur le moment par le vois [/INST] in ses aisances et sa curiosité. Le lecteur voit dans ce [/INST] milieu les échanges quotidiens auxquels s’y livrent de""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_78,,"<s><s><s> [/INST] ée retour du fils Antoine de Peyrolles par son frère Charles-Ferdinand IV et de René de Lagard [/INST] ére, conduit à un affrontement entre les différents membres de l'ancienne famille du duc de Guastalla et du prince de Gonzague. Ils se retrouvent dans le château de Mantoue, le lieu de ce conflit.""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_29,," [/INST] les prochaines pages une telle perversité. — Votre père, étonnement, n’a-t-il pas eu la force de crier tue-moi ! — oui ! oui ! t’as fait souffrir ! — et puis, lui-même, tu le n’as caché nulle part ? cela, c’est la deuxième perversité. — la pauvreté""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_17,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_174,,"<s> [/INST] En 1870, le capitaine Nemo est sur le Naulilus, un navire sous-marin qu'il a lui-même conçu. Le N [/INST] autilus est équipé de nombreuses technologies, qui le rendent très avancé. Le capitaine Nemo et son équipage passent deux mois dans la mer des Tropiques, en faisant des expéditions pour expl""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_235,,"<s><s><s><s> [/INST] Écrites par Marcel Proust, les célèbres pages lui-même recomposées dans un texte d’octobre 1890, dans lesquelles le narrateur, devenu baron et réunit [/INST] son compagnon intime, la sœur de la baronne et sa fille, qui ne sont accompagnés qu’elle-même, son écrivain, sa femme""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_174,,"<s> [/INST] le médecin légiste et des témoins clairvoyants ont découvert plusieurs preuves prouvant l’improbabilité de l’interprétation de miss summer, il était clair qu’on n’aurait pas dû écarter l’autopsie de la compagnie des assurances. « On vit que le chacun, dans la circonstance, avait raison :""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_75,,"<s> [INST] Avez-vous compris l’extrait et si les trois phrases sont à mettre ensemble? Tenez un récit complet, cohérent, où vous nous informez des deux parties d’histoires décrites dans l’extrait.» Non, les trois phrases ont été complétées. Le jeune baron décide de quitter son château pour se joindre à une troupe de comédiens, laissant""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_63,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>INST] on commence par une fête qui se déroule à Paris. Les acteurs de la pièce ont fini de jouer, la foule s’est dispersée, c’est nuit noire en un sens très complètement différent du récent évènement ; ce sont les jeunes personnages en costume qui veulent faire un peu d’enf""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_11,," [/INST] Voici un résumé des événements d [/INST] un roman, Des observations de navires sur un monstre marin géant entraînent une controverse internationale, alimentant des récits fantaisistes et des débats passionnés au sein de la société savante et des méd [/INST] a, suite à des incidents marins mystérieux impliquant des collisions avec des rochers in""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_104,,"<s> [/INST] Ce livre est un récit d’intrigue dans le milieu financier, avec des mystères, des détenus dans l’hôpital et dans une prison, des déchus, des alliances, des mariages, des vols, des déractions de monsieur le baron de Gondo et de Chambras, des affaires d’amour et de jalousie, des procès, du crime""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_236,," [/INST\n [/INST] Voici un résumé des évènements de 3 pages, dont le but est de faire comprendre la situation.  Les enquêtes sur la disparition et le meurtre de la veuve Lerouge mettent le village de La [/INST] Jonchère au centre d’intérès national et suscitent de nombreux soupçons. En récompense des preuves de""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_157,,"s>ole ?— L’éclat d’ [/INST] ses traits lui fut d’une façon décisive ; il eut la fièvre. Son imagination s’anima [/INST] et il ne cessa jusqu’à la fin de sa vie de chercher [/INST] ce qui devait remplacer sa vengeance.. Il pensait à Mme de M**, femme d’une grande fortune et riche de grâces,""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_54,,"ins, en raser en quelques lignes le texte [/INST] , ou en prenant pour échelle quelques pages de la fin de l'ouvrage pour retracer le fil de la narration.» Par un hasard, ce même matin, en rentrant d'Italie où j'étais allé faire des affaires, je m'étais empêché avec mes habitables du voyage de la jeune veuve parois""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_57,," [/INST] Le capitaine Nemo et son équipage ont découvert des traces de monstrueux narvaux sur un autre monde. Pendant la recherche , le bate [/INST] il est poursuivi par un narval géant électrique. Les équipages des deux bateils tentent de le capturer, mais ils échouent, et ils échouent sur un sous-marin humanoïde""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_193,,"<s> [/INST] Le village de La Jonchère est éclairé sur les trahisons du marié Lerouge et du valet de la veuve Lerouge. Il reste un énigmatique enfant qui a écouté, avec intérêt, le départ d'un homme mordant qu'il a rencontré. Un enfant éclaire en témoignage détaillé devant des""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_352,,"riel  A mon seul égard, tout me rendait égale. — J’ai de la folie d’amour dans mon ame. — [/INST] Quelle puissance ne porte-t-elle pas son trône aux côtés du ciel ? — Il en exprimait des cris. — Je veux, dit le baron en se promeneant en contemplation. — Avec la tête achevé, la""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_41,,"ières; tout le monde avait regagné ses mains-propres, la voiture était allée, la maison était fermée. «Lassez-moi dormir, mme ducornet, dit madame, c'est pour que vous sachiez tout, et sans me l'écouter, il faut que je m'étais pour vous enfin.—C'est que ça se passera, mons""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_54,,"requois de son compagne d’école, sa maison, l’art du bijour, la mason... Il est étonné de connaître son intérieur. Il est fasciné par les petites rides du parquet, les tapis orientaux, les plafonds [/INST] sur lesquels des fleurs les plus variées pendent en petits tas à chaque chevalet, les tapices de Chine, les""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_0,,"<s><s><s><s><s><s><s><s> [/INST] avantageusement qu’il le fallera aimer.  — Quand [/INST] vous avez fini, continua le portier. — Le reste, ce sera de votre œuvre.  De longs minutes avaient expiré; il avait commencé à fumer, quand en [/INST]fin un éloquent bruit à peine entendud, à peine""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_194,," [/INST] Avec quelques chagrins, un vieux baron, qui vit dans un château délabré, met en scène une fête et se rend à une ville où il doit y jouer dans un spectacle. Il décide d’abjurer sa vie d’aristocrate [/INST] et de devenir un acteur pour changer sa situation et se mettre à son aise. Cependant, la route, enfin""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_66,,"ries se mêlent à Paris, et des complots sont tentés contre le pauvre Henri, qui veut reconnaître ses origines. Une ancienne maîtresse de dame se met en chasse d’un député du Peyrolles, tandis que Suzon Bernard, la duchesse et d’autres membres de la noblesse sont également impliqués dans ces affaires. Enfin, un jeune homme, or""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_112,,"<s> [/INST] Pendant que Noël se souvient de son enfance, des enquêtes s'accumulent sur la veuve Lerouge, et le père Tabaret est appelé pour les réconcilier et retracer l'histoire du meurtre de sa femme. Quand Noël quitte le village pour aller chercher son père, un enfant lui raconte une histoire sur le chemin des marais. Noël""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_47,," [/INST] Le roman met en scène un groupe d'amis se déroulant à Paris et qui discute des aspects troublants et mystérieux de la vie. Les personnages de Clément, Rosalie, et Destroy sont notamment mis en avant. Le sujet du livre traite de thèmes comme la douleur, la souffrance, et l'inspiration artistique. Une scène importante a lieu à l""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_159,,"OBISSON ET SILAIS.—EMBRASSEMENT.—LOISIRS DOLENTS.—RACONTEMENTS.—LA MODE A S’EN GAGNER.—ESCALADE.—NOËUVE AFFAIRE.—LA MISSION DE MONSIEUR DE BOISSON.—LA FOI DE [/INST] MONSIEUR DE SILAIS.—L""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_68,,"ries. »– Mais, monsieur le professeur, si vous entrez dans la montagne où se cacherait le nautilus, en trouverez-vous aussi le monstre marin géant dit ici parce que vous avez vu des navires d’Osakis et d’Ingersoll, qui ont écrasant des navires comme par hasard ?»– Il aurait du beau pour être ici.–""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_174,,"<s> [INST] ÇA FAUDRAIT QUE LA SOCIDAD VENGA A CREER UN REVOLUCIONARIO PERFECTO](INST] Soyez encore bien curieux, ami, et soyez encore plus délicat en un moment où des choses étranges vont bientôt se faire. 1823. Quand les chefs d’État vont mourir. Ô mon bon""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_89,,"<s><s><s><s><s><s><s><s><s><s><s> [/INST] ’il sera plus facile à parler plus tard. — un soldat gravement bless [/INST] é. a qui s'est fait transgresser avec des nègres. — tout à fait, se disait sidi-muley en frotteant, à l'oreille et en se rassurant de toutes les forces et de toutes les forces du ciel dans""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_364,,"<s> [INST] Analyse du chapitre un ou plusieurs jours plus tard. 1. Comment est dépouille la nouvelle du cœur de Sigognac et des trois compagnons de ses quêtes ? 2. Que signifie la description de l’exemple de démesure donné par le château de Francornard ? 3. Un homme dénoue la narration, parce qu’il se trouve misér""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_108,,"<s> [INST] AZIS FILS\nAzis fils est un roman du milieu du XIXe siècle, écrit par le français Charles Chipiez. Il a été publié chez Payot en 1847. Pour la plupart des lecteurs, c'est un roman, ceux qui l'aiment le qualifient de beau. Le livre évoque la terre de la marne, à mi-chemin""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14,,"<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_177,,"<s><s><s><s><s><s><s><s><s><s><s> [/INST] 'il est condamné à mort. Albert doit décoper la verité. Les enquêtes ont débordé les petits village et atteint les plus haut dirigeants. Une enquête dure et détaillée se fait sur la mort de Lucile, la belle femme riche de la veuve Lerouge. On décide à la fin de""]"
