doc;completion_gold
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_59;Chiquita, la petite fille, se lève et parvient à distraire le tyran. Agostin en profite pour reprendre son arme et neutraliser le tyran. Sigognac, quant à lui, prend une arquebuse et tient tout le monde sous la menace de l'arme, les obligeant à cesser le combat.
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_113;Alfred est arrêté et va en prison en attendant son procès. Pendant ce temps, l'enquête continue révélant de nouveaux mystères.
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_146;Un témoin de dernière minute arrive et fournit un alibi à Alfred. Cette interruption soudaine permet à Alfred d'être déclaré non coupable.
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_20;Le Professeur reste immobile, confiant que le commandant Farragut pourrait fuir d'un impact en attendant une meilleure opportunité pour passer à l'offensive. Ils attendent l'aube.
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_25;Conseil prévient le professeur de l'impact subi par l'Abraham-Lincoln. Le Professeur et Conseil se rendent compte que l'Abraham-Lincoln est parti à la suite de l'impact. Ils restent à flot dans la mer et sont sauvés par ce qui semble être un monstre.
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_26;Conseil soutient le Professeur dans la mer. Ils y restent toute la nuit à flot. Ils sont sauvés par ce qui semble être un monstre, mais finalement il s'avère que le monstre était réellement une machine.
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_45;Le capitaine Nemo raconte quand et comment il a obtenu ses livres. Lui et le professeur continuent à parler. Le capitaine Nemo montre au professeur le sous-marin.
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_50;Le capitaine Nemo explique au professeur l'utilité des lunettes de jour et de nuit. Il continue l'explication des autres rares objets qu'il possède. Le capitaine montre la chambre du professeur.
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_61;Pain-de-Blanc et Phoemie cherchent un refuge ou s'abriter le temps que l'attention retombe. La police enquête en vain.
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_0;Ensuite, nous décrivons comment un homme qui ressemble à un chasseur se lave et fait une pause dans ses déplacements. Cependant, sa tranquillité est interrompue par un autre personnage, peut-être un animal, et l'homme est contraint de se lancer à sa poursuite.
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_4;Sans-Traces interroge durement Petermann mais lui sauve la vie. Petermann s'éclipse et Sans-Traces poursuit son voyage vers une ville voisine.
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_5;Petermann révèle que quelqu'un en ville lui a ordonné d'assassiner Sans-Traces. Sans-Traces sauve la vie de Petermann, qui s'éclipse, et Sans-Traces continue son chemin, l'air mort.
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_38;Une terrible bataille se déroule, beaucoup de gens meurent. Un incendie approche, poussant les gens à des actes désespérés, seuls quelques-uns survivent.
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_39;Le combat continue, les bandits gagnent. Les Comanches arrivent du milieu de l'incendie et renversent la situation en faveur de Don Agost.
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_40;Le duel est décrit. Le colonel meurt. Cependant, les bandits ne s'échappent pas, mais sont tués. Les Comanches fuient devant le feu qui s'est échappé.
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_41;Le voyageur est Sans-Traces, un chasseur que nous connaissons, qui a été surpris au cours de son voyage et qui s'en est sorti de justesse. Il arrive en ville avec un message.
