doc,label_mixtral,label_human
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_55,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_56,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_57,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_58,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_59,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_60,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_61,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_62,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_63,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_64,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_65,DANGER,DANGER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_66,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_0,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_1,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_2,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_3,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_4,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_5,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_6,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_7,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_8,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_9,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_10,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_11,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_12,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_13,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_14,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_15,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_16,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_17,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_18,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_19,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_20,EXPLORATION,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_21,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_22,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_23,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_24,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_25,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_26,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_27,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_28,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_29,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_30,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_31,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_32,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_33,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_34,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_35,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_36,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_37,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_38,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_39,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_40,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_41,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_42,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_43,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_44,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_45,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_46,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_47,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_48,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_49,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_50,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_51,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_52,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_53,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_54,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_55,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_56,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_57,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_58,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_59,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_60,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_61,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_62,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_63,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_64,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_65,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_66,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_67,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_68,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_69,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_70,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_71,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_72,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_73,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_74,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_75,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_76,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_77,EXPLORATION,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_78,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_79,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_80,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_81,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_82,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_83,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_84,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_85,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_86,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_87,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_88,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_89,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_90,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_91,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_92,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_93,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_94,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_95,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_96,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_97,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_98,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_99,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_100,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_101,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_102,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_103,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_104,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_105,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_106,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_107,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_108,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_109,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_110,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_111,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_112,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_113,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_114,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_115,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_116,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_117,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_118,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_119,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_120,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_121,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_122,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_123,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_124,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_125,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_126,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_127,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_128,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_129,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_130,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_131,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_132,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_133,EXPLORATION,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_134,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_135,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_136,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_137,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_138,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_139,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_140,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_141,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_142,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_143,EXPLORATION,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_144,EXPLORATION,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_145,EXPLORATION,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_146,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_147,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_148,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_149,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_150,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_151,DANGER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_152,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_153,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_154,DANGER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_155,DANGER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_156,DANGER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_157,DANGER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_158,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_159,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_160,DANGER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_161,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_162,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_163,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_164,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_165,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_166,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_167,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_168,OTHER,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_169,EXPLORATION,
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_170,OTHER,
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_0,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_1,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_2,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_3,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_4,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_5,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_6,EXPLORATION,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_7,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_8,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_9,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_10,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_11,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_12,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_13,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14,OTHER,DANGER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_15,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_16,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_17,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_18,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_19,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_20,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_21,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_22,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_23,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_24,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_25,OTHER,DANGER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_26,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_27,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_28,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_29,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_30,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_31,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_32,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_33,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_34,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_35,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_36,EXPLORATION,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_37,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_38,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_39,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_40,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_41,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_42,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_43,OTHER,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_44,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_45,OTHER,OTHER
