doc,label_mistral,label_human,label_mixtral
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_24,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_25,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_26,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_27,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_28,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_29,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_30,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_31,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_32,DANGER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_33,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_34,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_35,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_36,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_37,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_38,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_39,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_40,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_41,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_42,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_43,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_44,OTHER,OTHER,DANGER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_45,OTHER,DANGER,DANGER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_46,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_47,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_48,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_49,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_50,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_51,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_52,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_53,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_54,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_55,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_56,DANGER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_57,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_58,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_59,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_60,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_61,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_62,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_63,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_64,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_65,OTHER,DANGER,DANGER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_66,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_0,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_1,EXPLORATION,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_2,OTHER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_3,DANGER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_4,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_5,OTHER,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_6,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_7,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_8,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_9,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_10,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_11,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_12,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_13,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_14,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_15,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_16,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_17,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_18,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_19,OTHER,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_20,OTHER,EXPLORATION,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_21,EXPLORATION,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_22,DANGER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_23,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_24,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_25,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_26,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_27,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_28,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_29,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_30,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_31,OTHER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_32,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_33,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_34,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_35,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_36,DANGER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_37,DANGER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_38,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_39,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_40,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_41,DANGER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_42,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_43,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_44,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_45,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_46,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_47,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_48,EXPLORATION,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_49,OTHER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_50,DANGER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_51,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_52,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_53,EXPLORATION,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_54,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_55,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_56,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_57,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_58,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_59,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_60,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_61,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_62,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_63,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_64,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_65,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_66,EXPLORATION,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_67,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_68,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_69,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_70,DANGER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_71,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_72,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_73,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_74,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_75,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_76,OTHER,EXPLORATION,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_77,OTHER,EXPLORATION,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_78,DANGER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_79,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_80,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_81,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_82,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_83,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_84,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_85,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_86,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_87,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_88,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_89,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_90,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_91,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_92,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_93,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_94,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_95,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_96,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_97,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_98,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_99,EXPLORATION,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_100,DANGER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_101,OTHER,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_102,OTHER,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_103,OTHER,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_104,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_105,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_106,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_107,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_108,EXPLORATION,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_109,EXPLORATION,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_110,OTHER,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_111,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_112,DANGER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_113,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_114,DANGER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_115,DANGER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_116,OTHER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_117,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_118,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_119,EXPLORATION,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_120,EXPLORATION,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_121,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_122,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_123,OTHER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_124,OTHER,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_125,DANGER,OTHER,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_126,EXPLORATION,DANGER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_127,DANGER,DANGER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_128,OTHER,OTHER,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_129,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_130,OTHER,OTHER,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_131,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_132,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_133,OTHER,,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_134,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_135,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_136,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_137,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_138,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_139,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_140,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_141,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_142,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_143,EXPLORATION,,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_144,OTHER,,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_145,OTHER,,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_146,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_147,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_148,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_149,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_150,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_151,OTHER,,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_152,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_153,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_154,OTHER,,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_155,OTHER,,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_156,DANGER,,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_157,EXPLORATION,,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_158,EXPLORATION,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_159,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_160,OTHER,,DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_161,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_162,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_163,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_164,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_165,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_166,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_167,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_168,OTHER,,OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_169,OTHER,,EXPLORATION
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_170,OTHER,,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_0,OTHER,OTHER,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_1,OTHER,OTHER,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_2,OTHER,OTHER,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_3,OTHER,OTHER,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_4,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_5,OTHER,OTHER,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_6,EXPLORATION,EXPLORATION,EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_7,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_8,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_9,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_10,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_11,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_12,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_13,OTHER,OTHER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14,OTHER,DANGER,OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_15,OTHER,OTHER,OTHER
