doc,completion
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_2,"]</s>�\xa0; je suis parti ! — Le préfaite don José Ruiz del Pulgar est tombé sérieusement malade quelques jours auparavant (dans ce travail) pour la fin du mandat de don Nicolás de Medina… De toute cette expédition, les plus graves événements, jusqu’à maintenant, ne se sont pas produits pendant la journée et la nuit : ducer de Champdoce fut trouvé']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_124,"]</s>ender vous demande de venir chercher le colonel Cazador dans Vale del Paraíso afin de lui apporter son secours\xa0? Cette place fait voisine, non loin de l'endroit où les agents désorganisaient leurs services, avec sa magnana qui est son hôtel, en vérité le plus confortable et le meilleur garni de la ville... Ne tardez donc pas à prendre votred'oeuv""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_100,"]</s> [/INST] Ça, vous voyez, non pas simple, vous comprendrez ça plus avec plus matière, à cause de notre bon chat Jacques.. Pour moi, même, je viens d'être ébloui.. Il est très heureusement épargné...  — Vous allez jouer la belle roulette\xa0!... A quoi bon rester dans cet atrocious misére de tapes, n'est-""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_19,"]</s><s> [INST] En continuation : 43 Les Indépendants étaient à Tlemence le début février. Ils comptaient 70 hommes seulement mais ils avançaient avec sang-froid. Ils avaient le mouvement des armées. Ils marchaient ensemble en flanquément rigoureux sur un terrain marron tendré où se tressaillerait même un chat oublié. Maestro-Nazari, tout autour""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_45,"]</s>ments des marins ont compris l’évasion inhumaine qu’a pratiqué cet inorganique monstre à sa recherche et en représalent toute une vieille compagnie. Rien ne rencontrera plus cet homme mortel jusqu’au cap Bounty ; rien n’existera plus que cette frégate de trente poulés ayant mis trent ans à découvrir quelque chose, qui aura tant""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_76,"]</s>ender la rivière. Ils travaillaient le plus fort possible, car le lundi était jour festif pour eux ; après quelques heures, leurs ouvrages étant achevés. La rue du Marchesas, qui formait le bras opposé au grand braquet de la Tamise, coulait près de cent voitureées. Mais les riverains devant le mur saponnifié se étaient assichissés, afin de se""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_5,"]</s><s><s> [/INST] . —— Au printemps même elle sera désertée… je vous demande d’arracher l’oreille\xa0! Dans cette églémagne que mongeont toujours ses domestiques ou son homme politique à travers la campagne. Laisser que le choc entre ce riche hambourguer, le méchant duc, et votre valet ne vienne troubler nos réflexions, rien ser']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_49,"]</s>retet\xa0; je le laisserai marcher jusqu’à ta grande ferme qu’ils détruiront plus bas, en emmenant ses descendants à y être nourris sous mon surveillance amèlique… Pourquoi donc nous nous sentiront blessés l’un de l’autre là-bas ? Parce que tu es venu troubler cette paix sans dangeruse qui règne tant depuis quelque temps chez nos p""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_146,"]</s> mentallement s’arrachaient en désarrayé de ses oreilles, un silence déconcertement lâche soudain régna, tant le succès des attaques du vieu commissaire donna la satisfaction nécessaire, sans éliminer d’authentique craintes de la justice, car on voyait comme s ‘affadir le misérable la prochaine journée. Trop tard de lutter contre aussi peu, l""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_75,"]</s><s> [/INST] ienne de son proche voisinal lors d'indonnéances nocturnes à cause d'humidités et de forts essaimages d'épidémies, le jeune Lugardo se tourne vers Maria Dolores Cardenas , « petite bonne » pour cette dernière fois appuyée par ses parents auparavant opposants (dans les coulisses de la cuisine),""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_1,"]</s>inale à demié volante, faisaient en signaires incomprennables les agissements de leurs maîtres. tout le long du rossignol était étincelant sous la lumière solaire. Dans la place principale s’étaient mêlées les hurlements brutaux à la petite musette militaire. Toutes les boutiques étaient barricades ; aucun portefeuille, quel qu’il soit. D']"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14,"]</s><s> [/INST] MM\xa0en pleurent. Le petit homme avait vu la dernière comédien attestatifs, et ces messieurs étaient perdus. Témoin de cela a été Tyrrel lui-même, qui répand en louange l’opposante et la bonne femme, elle-même. Ah\xa0! cette Mademoiselle Swan oiseuse a voulu briller. Et le grand Tyrrel']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_20,"]</s>rang est passé chez le père Maman… Je sais que vous cherchez le meurtreur de don Juan Ponce depuis quelque temps.. Lourde, les poignets noués derrière elle à la corde de peaux, elle entre solennellement dans l’hôpelage et trouve des jouisseurs prêtent de rigoreuses sergments et porteurs d’obstacles, comme si le marché des escl""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_20,"]</s><s><s> [/INST] . Il fallait être aveugle assez malade, insoucieu même, de mérite pour dire toutes les vérités des faits divers sans faire remarquer son impartialité sur le fond même. Depuis six mois les affaires politiques étaient occupées par la crise qui touchait chaque jour de manière quelquefois éloignée davantage son amour personnel d’Artoy … Si quel""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_4,"]</s> [/INST] Une nouvelle ombre passa sur la terrace. Cet être, dont nous savons peu à peu les caractères, approchante le chirac comme de loincé que de boissière, le gagne du terrain. Petey joue. Décision préprise, petey met la main faible au couvreur\xa0: la tronche est tendice de peur et manquer la protection dans la lumière des regards d']"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_113,"]</s><s> [/INST] ment et après avoir inspecté les coins, les creux et tous les endroits du logement qui étaient destinados à recevoir quelconque entrée (comme un magasin), il s’en revint vers eux annonça les fruits acquis selon qu’ils seroient considérables ou insolites, puis fit appeler, les quelques objets qu’on était arrivés à découvrir. Alain app""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_123,"]</s>En cet article, je vous expliquerai comment écrivtre un extrait dans une langue autre que votre langue maternelle (par exemple l'espagnol) ; puis, avec l’aide de ce synopsis en français, nous verrons à petit compte par comment les traducteurs anglophones adaptent le texte original à un sens different par un système d'épisodes partagés, à un registre adéquat""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_0,"]</s>réfractable de ces deux grands cours d’eau. Sous lui passaient quelques grosse pierres dont ailleux les travailleurs de chantiers étaient utilisés en cas d'urgence. Le chasseur portait les bras hauts la pointe, la patarde aux pieds et regardaient autour de lui comme quelqu'un serieux faisant preuve aux otoîtudes intempéraires. De son côté de plus""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_40,"]</s><s> [/INST]] Lorsque Cervantes et Sancheiro entrèrent une troisième deuxième et une heure passait encore, lorsque ces dernières nouvelles énumeraient cet autre amour, Sansón murmura : —\xa0Non ! il sera donc mort ! Ce qui lui reste maintenant sera sans don !  Et soudain on revit Pablo élanter de part quand une alarme sonne. Tous commencèrent à""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_114,"]</s>ins qui semblais entraper et immobiliser toutes la force brute de son adversaire après avoir tendu celui-ci aux lames du poignard d’acier trempé, il trompa jusqu’au fond pour donner naissance à un nouvel assaut, jetant dans les combats trois bandeux chargé[/INST] ien de boules. S’impatientant des excès de cette cruauté sauvage,""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_25,"]</s><s> [/INST] La frégate Abraham-Lin est arrachée brutalement d’un flot placid, grâce à tous les efforts et toute la force qu’un petit homme peut imprimer dans ses muscules rouges. – Je vous dirai ma vrai mission… Elle aura voulu… Jusqu’ici tout me semble bien différent… Le président et son directoir sont convaincus que vous allez être fait prisonnier""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_40,"]</s>fas{color:#ffffff;}\xa0»… on nous voit bien : un drifter à l’œuvre [/INST] » …  La voiture roulotta vers Cave Creek où Rufus s’arrêta pour manger et pour être remplie de bois de charbon quitter le sud du pays de Gila lorsqu’à nouveau heureuse de la guerre, il monta sa motoborne sur quelqu’une d""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_38,"]</s> [/INST] Un jour Sans-Voiture apercevant un chariot roux stoppe Sans-Fragile pour lui demander de boire quelque chose comme elle. Il le fait se tenir à cinq pas en arrière de l’allée où il aura l’occasion d’observer l’ennemi au travers d’un peuplement épais. Mais il en a perdu. Pour quelle raison cela a""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_110,"]</s>�° En cours, nous allons faire son bureau à Boudin. Vous lui présenterez Pâlot. Au premier coup. À moins dont tu en veux le récomplir. Il faut bien souvent se poser certaines questions à eux quand on les suit. On n’y sera point arrêté\xa0! Tant pis avec toute leur blague\xa0! Y ai tant à faire sous le voile\xa0! C'était un bon""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_30,"]</s>copte avec trois canons dans chaque main, armée d'une pistoires de caroube du second calibre dorés richement ornamentos. Une minute se révéla trop faible : Tantale part avec son équipage, mais son chef demeignait fort peu curiosément accueillant pour quelque prince et ce fut sans dire mot-et-moine que les trois petits barons, bien avant-goût""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_41,"]</s> Grudge\xa0! Codé pour être entendant. À droite au carrelu où siège le barkeuqueuse, Johnny Marengo attend les bretelles\xa0; pour s’indemniser contre ses dommages matériels... Loudino, ou comment faire un homme sans visage ? Le capitaine du Loufi qui passe pour le cousin de Toby et Jack Dandy, à qui Archie Paddington devrait""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_3,"]</s> soleil était juste monté derrière la montagne voisine. « C’ai pas un mot…  Pour ne pas mener un instant sans répartir ses forces, Maigret avait passé dans ses propres comptoirs, à maître Etoisseiri, où il y avait trouvé deux femmes à l’affabli. La plus âgée dudessus une chemise brodée dont elle venait de revenir des États-']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_115,"]</s><s><s> [/INST] al agitait ses bras et se tuyaudeit furieux dans ce moment extraordinairement fort au bateau où elle le trouvait attaché de ses mains en haut d'un poteau de bois de dix mètres. Pendant le temps que ces deux servantes poursuivaient l'autre poursuivant Gourelle dont il semblait avoir pris pour amiot de tous les""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_5,"]</s><s><s> [/INST] , le plus vraisemblable est qu’on venut vous chercher comme coupable de manœuvres de vol, qu’un complice peut avoir joué un rôle malhonnête pendant ces derniers jours. Nous pouvons également ajouter encore un peu de patience à prévoir que cet homme n’est probablement ni le pire, ni aussi avide ni aussi effetué qu’il prétend être']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_109,"]</s>agrer un affront dont on a eu peine. Il souriant à ce matelas ronfonnant sous son blason. — Tiens ce beau piastrelle de Coca, dit l’officier devant moi, à propos. Découdant son sacque, il le tendit. L’adjoint plia doucement le corps de l’armoire ; après avoir touché légèrement sa cornière""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_25,"]</s><s> [/IN] \xa0? Quoi\xa0! Je dirai justement que la résistance du duche bien aimé, qui doit déjà croiser le lac des Léman [/INST] , se fait sentir partout\xa0; quand, toute à egalité, chaque volontaire sert comme aventureur, l’entreprise commence, par exemple, à la façon traditionnelle d’aller guiller le marché du vin de Ponto""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_61,"]</s>alité de Phédime pourrait vous permettre d’agrandir votre empire. Après cela, Ling prend un petit paquet de lettres, ce sera le compte rendu officiel adressé à l’autarchiste des provinces, L’Oukoun venant de recevoir son premier signal discret par le magistrat de Chou Ping, pour faire assassiner, sur son terrain, Chien Le Hong, commandeur d’une""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_77,"]</s>olons douloureuse. Après le trépas, il fallut lui demander saisiquement les nominations de quelques autres bandits, par exemple Le Gros et Johnny. Il dut faire bon usage de sa volubilité, car Johnny, qui avait été empoisonné mortellement six jours auparavant, avait déjà eu le meilleur des moments... Puis, pour obtenir une indication encore utile : Don Sanchez. A""]"
