"doc	label_net";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_46	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_47	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_48	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_49	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_50	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_51	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_52	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_53	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_54	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_55	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_56	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_57	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_58	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_59	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_60	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_61	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_62	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_63	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_64	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_65	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_66	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_67	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_68	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_69	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_70	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_71	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_72	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_73	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_74	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_75	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_76	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_77	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_78	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_79	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_80	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_81	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_82	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_83	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_84	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_85	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_86	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_87	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_88	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_89	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_90	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_91	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_92	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_93	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_94	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_95	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_96	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_97	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_98	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_99	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_100	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_101	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_102	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_103	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_104	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_105	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_106	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_107	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_108	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_109	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_110	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_111	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_112	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_113	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_114	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_115	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_116	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_117	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_118	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_119	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_120	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_121	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_122	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_123	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_124	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_125	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_126	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_127	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_128	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_129	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_130	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_131	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_132	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_133	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_134	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_135	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_136	";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_137	";;;;;
