doc	label_net;;;;;;;
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_28	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_29	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_3	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_30	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_31	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_32	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_33	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_34	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_35	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_36	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_37	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_38	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_39	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_4	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_40	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_41	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_42	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_43	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_44	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_45	;;;;;;;DANGER(Argument&Physical Altercation)
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_46	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_47	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_48	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_49	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_5	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_50	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_51	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_52	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_53	;;;;;;;OTHER(The process of crime)
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_54	;;;;;;;OTHER(The process of crime)
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_55	;;;;;;;OTHER(The process of crime)
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_56	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_57	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_58	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_59	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_6	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_60	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_61	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_62	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_63	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_64	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_65	;;;;;;;DANGER(Death of a main character)
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_66	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_7	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_8	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_9	;;;;;;;OTHER
