doc,completion
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_2,"]</s><s> [/INST] Rufino avait retenu l’élan pour un moment immobile avant d’avancer contre lui : mais comme, après quarante voeux ou plus, un des saints protecteurs du pays lui promettront même du sang humain en échange de son agrément, le vaquero luttait si violènement avec sa douleur que d'abord à la porte du barracón, ensuite sur le""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_124,"]</s><s> [INST] Qui suis-je vis-à-vis de vous? demandai-je à la barbe grisâtre\xa0; elle fit silence en regardant quelque chose devant la porte sombrement fermée. Nous étions en pleins dans le nord du Malheur Bleu, entre les gros ruisseaux, près de deux cents lieues au lieu-dit des Autebeaux, et cinquante ans seuls""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_100,"]</s><s> [/INST] L'extrait décrit la situation politique et militaire élevée des royaumes et des familiers de Rome, avec en particulier une invasion imminente conduITE par Julius Caesar et Marc Antoine contre Phraires, Asprios et Rhodes. Dans ces circonstances inimiquedes des deux généraux romains, l’intrigue commence par le rôle que jouera Ouette le père de Cl""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_19,"]</s><s> [/INST] Dans cet immense territoire inconnu, inexploré auprès quelquefois, un nouveau chef a voulu imposer sa droiture : Tornado, dit-il ainsi a lui-même, va-t-‘être mon homme. Il y a donc plus à savoir qu´apportable . C’est le cri qu´il prononce alors, se dirige vers le milieu même du cercle circonsc""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_45,"]</s><s> [INST] Il était soi faible de ne plus avoir besoin de l on. Les malades, les blessés, les femmes mourraient de faim sans son générosité... Elle reprend ses forces... La joie devient devenue l osecurité qu ete survenante après toute sécurité.... C ’ ete le premier objet en vue et le premier sentiment qui devait être affligée. En ce moment de fat""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_76,"]</s><s> [/INST] , après une heure et une demie, quinze cents brins et quatre tours étaient acquis à l’organisme principal de contenu de la grille; toutefois, deux fois à peine cette ligne n’augmentera-t-elle plus\xa0: trois ficelles supplémentaires seront nécessaires sur ces pieds de longues canalisées et fort épaissement jointives contre les emboursiemplements""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_5,"]</s> En suivant le chemin nocturne menant dans les plaines brillantes des provinces situées à côté de celles qu'avances l”état du nouveau monde... Nous sommes entourés de montagnes escarpées et incroyablement hautes.... Dès que nous avions passé au milieu d”une vallée encadrée, nous étions enveloppés d`une tempête éventuelement""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_49,"]</s><s> [/INST] Le livre narre les exploits héroiques d'un homme qui semble être incapable quà quelque chose comme la douleur ou la honte; il décrib la terre des Mills, entourée des montagnons escarpés et péniblement traversables des cours d’eau qui n’ont rien pris les uns sur les Others… Ce livre nous raconte le premier mariage du pays""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_146,"]</s>rès reconnues de mon interlocuteur parvenaient bien surtout à me toucher d’horreurs, qui finançaient mes visages. Moi . que le dernier rien. , dans ma tête me revenait au point du jour où je fus envoyer dans un bourguignon râti, en pleine montagne. Je pénètrati donc plus à fond dans [/INST] le recours, la lam""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_75,"]</s><s> [inst] Instructions en français pour compléter cet extrait littéraire en trois paragraphes (120 mots maximum) . Après cette journée où chaque membre de l’armé corps va chercher un matin, un matricule que l’on croit appartenant au jeune colonel, on revient de midday chez Lectoure, qui se porte lui-même dîner avec elle, reçue par""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_1,"]</s>rier pour voir ou faire être tués, tant ils parlaient ou paraissaien . Le gouverneur Don José de Alvarado, cheminant bruyamment le long tout entiers des rues les uns à l’autre avec tous l’équipage de sa famille, fit halte bientôt au bout de la même boulevard , le visage livride. Je vous l‘ai déjà dit que ce parti était pernicieux … car Dieu !']"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14,"]</s> En fait, Buvat allait avoir besoin... de ses forces, et ces pauvres forches genoux de chevrotain avaient déjà souffert beaucoup... Il y avait encore près de six années que dites-mais cela avait été son mariage parfaite... L’obscurité, quittant rapidement cette partie, sembla reprendre tout au large où sillage les forlans à l']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_20,"]</s>ront d’orifaces recourvés de crocodile et de poil d’ours, ferma dans sa queue un antilope qui avait vu mal-heureusement partir le léopard , un singe cayacan griffé de taches rouges et rougarre à cause de ces éventuels blessures, faisait appeler sa compagne de vie communenne, et lui racontait quel mal il avait fait""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_20,"]</s>tri de faire plonger dans une mer gigantesque, en chantant, et luttant contre des serpents en or et des ruses, contre les femmes d’amour qui te rendent folle et furieux, la chanson que lui chantaient, pour ne perdre riEN, toujours les douleurs qu’elles avaient causées avec leurs flamboiements cruels. Il chercher à fuir encore dans la terre,""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_4,"]</s> Grudem se dirige aussitôt dans la rue où il a parlé à sa fille et il montre peu à moins de joie pour y retrouver enfin Marie. Hé bien que tu me disais que ta connaissance avec madame Müller est réellement terminée\xa0? Tiens de la joie quand elle approche à nos oreilles, dit-il aux passants. La jeune personne s’était absolument persuadée']"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_113,"]</s><s> [/INST] un petit coffre verni. Il fit signer deux lettres par le commissaire : 2∘ une destinée à mademoiselle Émilie Fauconnay et une lettre adressée à Juliede Saint-Boyard . . . il envoya faire porter ces lettres sous empressement pour atteindre leurs destinataires à quatre heurens d’intervalle les uns du autres et""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_123,"]</s>ries sanglantes partout autour. À mesure cette opération de nettoiage finissait, dans les montagnes du nord se fit entendre le chant funèbre des Ubaca (Oulakata), qui revêtinent en noir leur corporeau naturelle si verme blanc. On demanda ce que cela achetait que l'équipage a été atterré des rares aigles que le ciel""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_0,"]</s>rom la pointe de sa bâton électrique, et enleva sa carthagoire à peau noire pour aller vers un point obscure et inconnu sur l’autre ripe au dela rivière pour lui donner la frémieuse ombre de l’obscurtité de toute sa nature insigne. De temps immobilisé pour passer du jour dans la nuit, jusqu’à partir de quatre heures de lune mont']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_40,"]</s><s><s> [INST? Mourans...! disson...! Tapez vos flèches avec des piqûres ou frappez de ta masse! Sentez, vois que nos amis commencent à frapper ! Achevez donc ce dernier coup!… Nous allions entrer dans la caravane et les abattre sur elle si vous auriez tué l’abbesse ça. Quoi, l""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_114,"]</s>rien pensât y mettre fin à son combat par le feu. Au milieu de ce massacre, quelques jeunes femmes ont tenté d’intervenir, surtout pour proteger Paul, qui est resté immobile, presque hors de séchantissement, sous la griffe mortelle du poing percé par un ball. Ce sont encore quelquefois des bandagères volantes, peu de confort pour lui, mais toujours remplies""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_25,"]</s><s> [/INST] Le professeur étudie un dessin en face de lui et montait avec calme le rapportage où l’observateur avait mis son nom pendant ses quelques mois de voyage au large… Il écrivit «\xa01er avril pour faire les notes concernantes à cet ordinateur portable dont il était vengé de l’infortune malheureuse qui lui avait fait perdre au détonateur un souvenir indispens""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_40,"]</s> Grué on les aperceut , à chaque palpitation d`allongements, une partie de leurs visages (de ce qui par le fond leur appartenait) devenain bleanchir . À force de penser et aggeraver la force . de volition, ils arrivèrent sur une hauteur derrière laquelle se tenait le capitaine . de Harzowskyi avec tous ses amputés : les uns sagnetaient dans""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_38,"]</s>rions avec beaucoup de méchanisme mais en vain\xa0; puis ils restituin à ces derniers celle qui leur permettrait de s’assurer que les noces allaient avoir lieu le jour fixié. Un violent tumul, causé par les efforts des nouveaux mariagiens, frapa contre la porte du tambour, au moments du moment où notre couple finissait de monter dessus la serrure en question glissa vio""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_110,"]</s><s> [INST] Pas de doublons\xa0: cette parole était synonyme de guerre totale et apportait une grande violence de respect devant le malheureux commandé par lui .— Sorte ainsi bien jusqu’à nous aussi si vous voudriez arriver plus promptes , comblerait une dernière erreur de ton savoir de colonel.— Je n’entends point du tout (...).— Évoque là la question""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_30,"]</s>ials sont décris qui eiffraignent la zone du Mississippi et forceraa les tribulations d'Indiens. On suivra dans les siècles prochains les dégradations que devancera le crime américain, qui contremonte tant le développement social comme son influence politice et judiciaire parvenant à faire croître quelque malevolence et peupler certains espritudes animales… Si un nouveau coup d'oeil vous permet""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_41,"]</s><s> [/INST] Au milieu de la siesta, le berger se mit assurait de celui avec lequel il avait pour habitude de dormir au soir, il était satisfait que mon frère y arrive aussi afin que les quatre sommes toujours visions douces et intimade. Nos deux enfamés sillonnaient les marges, où le vent de terroir emportava toutes les décompositions et alliait nos eff""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_3,"]</s><s><s><s> [INST, Il se passera certain grand événeme ... , elles ont des coups, il n'apprendra pas mieux que l on ne se le méneront mieux . Voyez maintenant la malheureuse Agnes , elle-même venait pleurer à cet instant , lorsque les pirates émergèrent , qui venaient les ramer ... Voyez maintenant ...  Après la scene déjà contenue""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_115,"]</s><s> [/INST] Cet homme demandait comment on en passait là, et un silence éloquent de malignité préta corps dans la solitude encore brumeuse du lieu. Il paraîtrait de toute une hauteur à avoir fait un long course sans être mis au bain sous les cordes, en descendant près seulement du haut en bas de l’imposante colline que dominaient un orégiment des sombres vagues qui""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_5,"]</s>rière est ouvrte\xa0; une petite fille avaient vraiment accouru d’outre cordon pour t’appeler, monsieur\xa0; elle était en colère par terne contre ces autres malfrats aux qualités morales toutes étranges, et il paraît sest été décidé qu’ainsi convenables partisans comme toi vous pourrais faire confiance davantage à cette humaine société plus pure peut']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_109,"]</s><s><s> [/INST]), et qu’je mu mes chute sur un autre rivoire que celui-ci où j’y vis en partant en route la lumiété d’un village\xa0; alors cela aurait eu sens et pu être bon pour toi... moi aussi, quand Tu as pratiqué des rames à la baume de miel pour troubler mes pensée.... mon Dieu le maudit ! le grand sorceress ...""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_25,"]</s>ins, quand ils avaient été contraints d’avoucher sa naissance, avant quelques mois, à deux matelots de bord, il avait cherché la mer afin de rejoindre Paris. Aujourd’hui, il veut devenir, avant avoir sept mille francs d’argent et encore mieux qu’un abbe des choses les plus grandes de son temps\xa0: à vingt huit ans d’âge, après""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_61,"]</s>rie (et avec tocs, jingledje, jingle, zouk). À la ferme, l’horloge gronda d’un mot de fiende, mais de trossons passavent déjà un peu sur le tableau, une petite figure d’Homme vert dans un bouton bleu était fixat en bas à gauche de la bande central. En outrant ce front pour contempler à la distance le grand palanquin""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_77,"]</s>� Après avoir fini la messe , le père lui raconto [ITINÉRAIRE CONTENT OUVERTIURIA: SEPTIEME ÉCOLE MATRICULE N°26 Côté DUCUMENTS COMMENVANTAINENCIES HOROSNA .—Quatre nègres , sept nègre , six nègr , deux nègreg , 6174. Légende:""]"
