doc,MISTRADVENTURES__completion,MISTRAL__completion,MISTRAUTRE__completion,MISTRADETECTIVE__completion,genre
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_169,"]</s><s> [/INST] avait donc votre intention, marquis\xa0?– Il n’existe point. Vous étiez trop absent pour voir que si la jolie marinière qui parlait encore de matricariums était une personne doublée… elle avait été abusée comme toutes les courtisanes peuvent l’être, la jeune aventuriére, et elle semrait bien avoir légué le double de ses deux""]","]</s> La présence à la cour nationale des deux princes étudiants, François II & Émile Auguste était prescripte pour tous ceclats ayant servie dans les colonneles régiments français. Les appuis nationaux garanti que toute opposition seraient menee direct contre l'ordonnage royal were. Lamentatingly to mention, King Charles I was also informed and agreed because none had questioned yet why they took actions against England without telling her anything about their plans""]","]</s>l'intuïtu: — Je vois bien mieux, répondis Mme Durville, qu'à courir la ville après nous, ma petite; tenez plutôt à vous cacher là pour que quand tout sera calme nous puissions partir... A ces derniers mots, Manette resta abordée; elle rougit de timidité, et se regardant chez le professeur et dans tous l'environnement, puis""]","]</s>pan est là : il prend le contrat sur moi en disant «\xa0Vive le roi !\xa0» tout bas. après mon départ, sigognac revenu ne voilà plus qu’un boulet : on ne peut avoir aucun sentiment pour elle . La troupe arrivé tout douze , 261 rue de Clermont-Fertile-Villars , avec ses dix comtéurs, voulu placer Isid""]",Aventures
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_60,"]</s><s> [INST] Une exposition de quelques traits généraux sera utile pour faire compris et rapprocher cette partie obscurcie des aventures racontées jusqu’ici. Vers la fin des quatre années. les travailleurs étaient arrivés au fond du pays encore vierge qu’envenait le premier projet. larsena- l’eau de la rivière, coulé dans les flans bas d’un vaste ravin, formaient un""]","]</s>rélation sur les praticabilités possibles des reticule sous terrain\nContrôle en partie de l\\'envision\nÉvolution des rapports professionnels au sein de sa relation épousaliére durant cette période dite des années 60\n\nAinsi peut voici comment je recommandeira votre service : après la consultation (avec votre consentiment obtenu), notre équipe de traducteurs spécialisé sera chargé de finaliser""]","]</s>isant la planite pour y observer. mais ces indicibles yeux ne sont devenus intelligibles[240][/INST] que le jour auquel on alloira faire sacrifier cette innocentante ville ; de même, comme on cramponnoit toutes ses forces pendant toute la période de quarante days dans cet endroit isolé de tous les habitants[235], voici comment l’affaire était développée encore : car [/INST]""]","]</s>aille et vite : «\xa0Cette affaire est grave… Voyant votran venivra vous alerter\xa0: quand vous sentez ces messagers venants vous vous tirerons du pays\xa0! Allez\xa0! mon ami … la vie humaine mange du poing d’où elle sort !\xa0» Le guiding-master en était rassasi , et il se redressa, lorsqu’à cinquante yardas de""]",Aventures
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_57,"]</s>gie non seulement à la faveur d un abatiment important but aussi du fait que mlle madame faisait honneur au beau sexe en arrivant aussitôt à chaque acte d’homme nouveau sur les planches dramatique qui se présentaient au public pour remplacer un ancien vainqueur dont la gloire appartenait encore alors aux roisières de renommé des comics français . cependant, les critiques par""]","]</s>récapitule le fil du narratif depuis la dernière page recoupémêlin . Dans ces derniers chapitresthe thématiciques principalesont introduits :les années vingtriesthel mis èrendroncetheménormannetteRacinesandAlbertinaffinerencheressimmondehummerrongssocialInformercampagnepapasRupturéHeroisiBillyLeConvoqueV""]","]</s>ole de décor de la première salle. ces derniers étaient mis pour des mises. Mais tout était bien prêt vers Sept a CXC , et toutes les boucheves ouvertes pendant ce temps sur quatre-vingts voies, des petits cabriolets ornas, de magnifiques postichons, qui remplissaient le chemin ; la vallée du Chimborazo était déjà occupée et flamboyante de fi""]","]</s> sole, s’assoyant devant le parloir ferme ; il y eut assez. Lognon, dix minutes après, enfin une lueur de riant surprenante dans celui du bureau, à cause d’un petit paquet posé de l’extérieur ; encore Lognon rentra ; ce fut bref : «\xa0Je suis sachet ! dit l’écuyer sans doubler un instant,""]",Policier
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_326,"]</s><s> [FIN DE PARTI DE VENUS PRÉCIUSE OU LE CHÂTEAU ÉTERNEL](index) , et retournie plusieurs fois sur ce pont qu’à coup sur coup son arabe avait saisi sur Biscaye, après avoir fait battre en étuis vive les lames et les écumes nocturnes qui roulèrent furieusement contre ces pierres surchargées, on voit disparaître le brick que les mar""]","]</s>riel page (3) : Dans la même étape de ces derniers temps sombres...: Parler dans notru est-il si ardrévole que nos bras feugiennent encore? Du printemps à jamais! La vie éclate pour autour puis tombe; mais cette résistance divine est immortelle.... Cette génération née aussi heureUSEMENT que nous fusmos, après la chaude paume estompelante, est encore appel""]","]</s>�. Ici le lecteur irrite sera content par quelques fragments romanesques qui reviennent de l'abandonné à celui-de l'actrice ambiante. Isabelle, enfermée chez Mademoiselle Bijoutière, est arrachée de son état de dispesse, et le prince revanche, en écrivant sur plusieurs feuilles : Il lui reste assez de temps pour révolution dans un quart des""]","]</s><s> [/INST] , dans quelque espèce liaison malveillante tend à être arrachée pour obtenir l’arrêTement d’Yolande qui agressa lourdement l’innocentin. L’homme-en-costumes groula :  — Non !… Je ne suis point d’espions dont cela devrait suffire un soir comme ce lundi ci aux Négorius""]",Aventures
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_100,"]</s>rine, je viens vous dire la toute. aiment m’imiter mon père et ma belle cousette 88 .  Il partira la plupart du temps de deux en three pour se trouver, pendant une semaine près d’Angostura, sans autre chose de faire encore que gratter la peau molle qu’il avait déjà longtemps démuny , il est plus facile que ce soit lancée par une jeunes g""]","]</s>répartie lignettes du roman explorera également divers thèmes relatif aux affaires policesmondialiaprès avoir été libéré après trois sans précédents jours dès le bout de cinq ans d‘incarcération par conséquencete fait le début du chaptexlorsqueprincessefla famille Laloux, en attendant une annonce importanteet ce doit trouver la sortiestot bouffants: Mademoiselles V""]","]</s>OBDOS. Afin de juger les circonstances favorables. Du silence, des nuits, une grande partie des affaires, comme on peut s’en acquitter en jurisprudence sans se compromettre. L’observer laconica et à pleine hauteur en donnant quelques petites attribuent encore deux nouvelles choses supplémentaires, comme le fait d’être pige, ce qui lui fit trop attention dans les""]","]</s>inale... Ne faitons plus de politique. Cela nous occupe sans avantage. Il paraît clair de suite. Maintenant on peut le redresser.... Pendant ces jours d’écoute intensive consacrée aux aveux d’Angèle Marigny et aux rapports secrets en ce sens dont son procès doit aussi jouissancer d’evictions solides. Avec toutes celles prises à l'auditorium de Trian""]",Policier
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_160,"]</s>oiseur, moi même ne désignerai pour la première somme que mrs serai un million francs, ceci va nous garantir contre notre adversnaires et laisser à moi libre cours dans les opérations industrieles.... Émutez Vingne : son avarince, qui joua tant un rôle de succès depuis six mois, est désormais une présidence et l’impatience ne l’""]","]</s>� À qui appartenet-je ? Par ce quelle destinée soit rélegation ou honneur ! - Oui! Je seraine plus humble et mes pensiers sans nuits somneles et sans présipôns se livrerasnt alors, oui? - Et de nouveau donc, rien attend dûement ni rijongings insinceres. Bêtterez-les tous ! Il dirige, commandera et gouverna un peu chaque""]","]</s> premiere partie du roman dix mois de suite. Sous cette protection, le récit suivira l'évolution politique faite depuis quelques année par cette France agressive et conquérante, portent à fin du siècle, afin lire ici une chronologie dès moins bien présomptive… Ainsi montrions comment cette étoile céleste aurait subi un développement semblable au déclin, et serait arrivée au bour""]","]</s>ments finançant ta construction seront là, je le promets. je viendrais au café de sorte à vous annenter la petite somme, ou du moins il faudrait que je coupe. maria ma réflexion, ayant, au fond du cœur, perdu entiere la flamine. Le plutôt était loin et c’est fort plutôt de quitter qu’écrié Paulo le chinois aux deux am""]",Policier
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_236,"]</s> sole n’était alors accessible à manoeuvre que de grandes parties du globe terrestre. Depuis cette époque, les voyages partagements d’aplomb ont augmenté encore plus, comme ils s’avaient fait sur la scène antique aux grandes marins des Pôlenois , comme chez Poloni ou Brindisi dans les chroniques historiques . Il existe au reste déjà lès anciennes tentatives d&#39;un dé""]","]</s>routine observation\nOn Tuesday morning at around five minutes after seven PM EST, two trains and one bus were involved in four minor accidents on separate routes across Indiana. In each incident, between six or eight individuals reported injuries ranging (...) The authorities conducted investigations into...</s>""]","]</s>stre cette conversation, en l’interrogeant davantage sur cet épouse, à qui le commandeur appelle l’objet cause du trouble si manifeste chez les hommes qu’il vit au camp britannique. Quand on cherche une femme dans un habit noir, ceci détonne à peine le regard accoutumé mais déjà usé à toutes les femmes de la cour.» « Dès demain vous disposez de ne""]","]</s>riel Le capitaine Nemo et son équipage voyagent au Large, surboard du submersible de cuivreboulon électrodynam à propulsion sous hélicopes bicibles. Ils se rendront dans le golfe Du Tonkin. Il sera difficile de tirer leur histoire sans retapiner. Çe lui faudra bien un quart et joliment en vingt-cincies. D'ailleurs on""]",Aventures
1895_Lermina-Jules_L-enigme.txt_chunk_21,"]</s>e d’accomplir mes paroles et mourrais amasseur pour rire…. — Tous les journos naguément dura, puis on attend [/INST] des explications; cette fois, rien: la discussion n’abandonne sa méconnaissance du texte pour entrer directement dans le combat social. À ce désir d’indécider tous sur le plan intellectuel mais aussi politique , les lecteurs redouble de volont""]","]</s>alienement croient tous nos parents, ils avaient adoptés une attitude de douèche vis - &#x201BLa nouvelle amante&#xA3; La pluisvalette, de lire en hautain ;&#xa9;&#xFE5F;&quot Le comte essaya d\\™essayer d\\'expliquer la signification et la raison d\\™practiques des manigances imposantes, lors de chaque entrevue""]","]</s>ruis passer près des fenêtres de Delphine … - Rappele en partie sur la porte du vestisaire le premier élève. Quiconque y était trouvé aurait pu entendre ces phrases précipitées .. Ses yeux étaient fixés par hasard à un point extrême ; il avait déjà bien rempli chaque jour la garde : — Comment es-il éteint votre allumette ? lui dit Halifax""]","]</s><s>\x85 Un homme frappant porte au palier son chapeau noir au gros ruban. Lâchez la petite pompe le long de chez Mme Delbarche, lui murmurons ces derniers occupans en profitant. Petite pompalandre en face du portier aux oreilles pointues ; Petale la paresseuse s’est dirigée vers Prou (Chapitre 1) : une lumière brillante""]",Policier
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_9,"]</s><s> [INSTINST], à demi couché. de ma façade dans une large et grande cour d’établissement appartenant comme moyenne-porte aux environs ; puis un petit passage percé dans cette muraille extérieure, avec sa projetoison métallique et peinte en jaune surmontèrent assez rapidement les hauteurs d’un escalier qui remontait jusqu’au troisieme étage. Au neuvième']","]</s>En conséquence, les découlés de cet article correspondent à l\'évolution linguistique depuis environ quatre siècles avec en particulier son caractère néofortifiabilité."" La présentation comprend le développements intellectuel (et notamment cognitive) selon quatre générations, la structure démographice and socio cultuelle, l\'études et évolutions langues ""dans cinq régiments"" ainsi que celle de deux villas différentes représentatives du']","]</s>ries randonnées, à lés eaux sombres ! Les ventails battaient leur volant à trois minutes, dès demain elle sera sous le soleil, ses flancs balance une tempête semblable à cette petite fémellaïte qu’il faudrait vaincre pendant l’âge gosier, par l’adroit jugement, par l’habile gesticulation et toute une science qui va jusqu’au']",]</s>fasable ; les chants à demi-voix nipponique semblaient plus claires de leur intimarité et briser l’armature fort vague des bruits domestiques. Il y eut un moment où Lydie craint devoir rester derrière ses chaises. Un peu boulevard Haussmann et Rue de Matignon ; ceci semble propre ; une porte ouverte au premier : gagna la'],Aventures
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_15,"]</s>ré. les comédiens étaient disposés, au milieu des amateurs les plus complaisants, à soutenir sans complaisance quelqu'un d'entre les deux sortes. pierre établit tout sur les bassons sans jamais lever la bouette, et lorsque la musique entama un pavane sur une gamelle que jeta Pierre aux pieds de ses jouisseurs et qui retomba à la dernière note, une é""]","]</s>rielongue Le livre narra l'histoire d'une famille ayoylète habitataudonne à Pape en Biscaye durant la Grande GuerreNoelFernandezemprunt\nLa Premiere République française est mise instaurer. Ce sera aussi souvent appelèddemocratie populairedescrivair lafosanidcrisaireBrenaeumarchalcomichetisayrac381986Jamb""]","]</s><s><s> profondeur plus séduisissant : étalement de fards enfermerait la cour avec du vert milieu un puits sombre, où laissemberent deux longues corbeilles chargnées d’orgeaux et d’une pile de clés de fer anbrasantes ! Il avait été triste et silencieux jusqu’ici dans la calomnie démontra ses talents en faisant parler la coquetterie même ;']","]</s><s> [/INST] e de ses enfants et du domestique… Dans le rez-de-chaussée, M.\xa0Pierrick est, lui, entré dans une grande cuisine moderne, équipé au dernier de l'efficace intérieurisation angoloise et où se tressaillent les deux fils aînés. Sainte-Sophie le rentrera à l'heure du soir. Elle""]",Aventures
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_7,"]</s><s> [INST] ça (5) , disait s'idé muley poussât pourtant ses fils jusqu’à hauteur de la cheminée et jetait même parfois quelques mors et des baraçons de liane dans les channelles doulces qui descendaient en longues glissière entre nos rameures qui portent avec griffement sur les haubans rocheux. Ainsi que chaque""]","]</s>folly revenu; ils descenderont l&#xA1;&'Or &amp;;Epoux en voulut mettre pied &gt;&ndash;\n\t* Dans cette partie antérieure de la novelle\n* Il explique la situation actuelle aux Indienne en tentaige sur la tranquille solitude des passagers. Bien décidée aux conséquences pour ses occupations violentes habituellement exercées; elle agissant""]","]</s>ries à boisseler les rideaux et faire les ormes grâces aux flétriers. Ah ? ah ... oui , moi ? je veux partir bien loin ; car lavemoi vraiment l’eau... Voisines, demain même si tous mes amis étaient avec moi, avec toute la France, j’allrais aller en Amérique ... [ /INST] ... Il y a là quarante pieds, voilà']","]</s>panique quinze minutes après cette conversation. Le docteur ne put empêcher des gémissements profonds lorsqu’elle appris cet incident et, quand il essaya de la rassurer, ni son allégation officielle que Ming avait accepté la visite de Madge parce qu’en tant que femme blanc elle lui paraissait naturelle et respectueuse de la façon dont ses servantes ont habillées Saussure']",Aventures
