doc,label
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_41,ef{OTHER}
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_148,[ OTHER] The scene
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_84,"[OTHER]
"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_62,[EXPLORATION
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_87,[OTHER] The
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_234,ef{OTHER}
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_151,DANGER\.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_60,"Other[\
Here'"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_16,ef{OTHER}
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_57,"OTHER

This"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_30,[OTHER] The
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_38,"ot; OTHER
The"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_143, DANGER
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_25,"OTHER>

"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_9,"OTHER\]

"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_326,ot; this scene can
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_82,"otHER[\]
"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_177,[OTHER] The
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_150,"OTHER\]

"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_100,"ot; OTHER
This"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_52,ot; this scene describes
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_223,[OTHER] The
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_30,OTHER\] The scene
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_258,"ot;OTHER
"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_17,"OTHER>

"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_160,"ot; OTHER
This"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_86,T [EXPLOR
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_42,ing [EXPLOR
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_39,"OTHER

The"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_303,TWO WORDS
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_236,ef{EXPLOR
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_44,"otHER>

"
1895_Lermina-Jules_L-enigme.txt_chunk_21,[OTHER]: The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_351,"[OTHER]
"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_196,OTHER[/Just
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_106,OTHER. This scene
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_66,"OTHER

The"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_293,": OTHER

The"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_11,"otHER

The"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_26,[OTHER] The
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_88,OTHER[/	
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_153,ef{EXPLOR
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_111,ef{DANGER
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_214,t: [OTHER
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_142,DANGER>!
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_9,[OTHER] The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_244,ot; [OTHER
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_102,ef{EXPLOR
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_111,OTHER[/1
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_3,"OTHER\]

"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_114,[OTHER]: The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_34,[OTHER] :
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_15,ing other scene. The
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_7," other 

The"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_176,"[OTHER]
"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_130,"ot; OTHER
This"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_58,"OTHER

The"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_93,: [OTHER]
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_161,"[OTHER]
"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_65,"OTHER[/
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_123,"OTHER

The"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_188,[EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_159, DANGER
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_145,ot scene can be classified
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_185,t: [OTHER
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_39,DANGER>
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_28,"ot; OTHER
This"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_151,[OTHER] The
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_103,ot; [OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_158,[OTHER] The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_26,DANGER> The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_62,"OTHER

The"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_70,"ef> OTHER

"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_131,"OTHER>

"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_60,ef{OTHER}
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_165,p|[OTHER
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_6,ef{OTHER}
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_88,[EXPLORATION
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_116,"ot; OTHER
This"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_89,t: [OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_135,"ot; OTHER

"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_99,[EXPLORATION
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_57,"ot; OTHER
This"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_30,ing [EXPLOR
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_65,"ot; OTHER
The"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_168,"ot; OTHER

"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_241,"OTHER[/
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_164,"[OTHER]
"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_11,"ot; OTHER

"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_23,"OTHER

The"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_261,ef{OTHER}
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_56,OTHER[/ Using
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_95,"ot; OTHER
This"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_242,"EXPLORATION
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_344,": OTHER

The"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_56,ef{EXPLOR
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_123,otHER[/	
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_80,ing [OTHER]:
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_129,[OTHER] The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_203,[EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_295,ef{OTHER}
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_145,EXPLORATION]
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_74,ot; [OTHER
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_169,DANGER\.
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_74,otHER[]\]
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_172,ot; OTHER; The
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_32,"OTHER\]

"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_100,"[OTHER]
"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_131,ef{EXPLOR
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_117,ot [OTHER]
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_19,ot; [OTHER
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_108,ol{fill-column
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_78,ef{EXPLOR
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_28,"OTHER>

"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_107,OTHER. This scene
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_360,OTHER. This scene
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_48,[EXPLORATION
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_7,"ot;OTHER
"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_33,OTHER[/ The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_321,[OTHER] The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_174,Other[/
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_39, DANGER
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_120,"ot; OTHER
This"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_148,"ot; OTHER
User"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_93,"ot; OTHER
The"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_163,"ot;OTHER
"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_103,h1>[D
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_160,[DANGER]
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_87,EXPLORATION]
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_61,[EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_23,OTHER[]/p
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_7,otHER. The scene
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_101,ef{OTHER}
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_284,p> [EXPL
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_165,"[OTHER]
"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_160,OTHER]{.b
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_96,OTHER[/The
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_31,DANGER\*\
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_255,[OTHER] The
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_158,"[OTHER]
"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_226,[EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_113,"[OTHER]
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_49,ot; [OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_225,ef{OTHER}
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_224,ef{OTHER}
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_122,ot; The scene described
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_66,p> [OTHER
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_251,ef{OTHER}
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_79,"ot; OTHER
The"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_208,ef{OTHER}
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_53,[OTHER]: The
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_137,[OTHER] The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_125,[OTHER] The
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_166,"[OTHER]
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_306,DANGER> The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_70,"ot; OTHER
This"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_12,OTHER[/	
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_94," OTHER

The scene"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_190,ot;EXPLOR
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_153,ot; [OTHER
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_82,"ot; OTHER
This"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_101,[OTHER] as
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_124,[DANGER]
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_90,[OTHER] The
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_102,"ot; OTHER

"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_97,[OTHER] The
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_84,"ot; OTHER
This"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_320,"[OTHER]
"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_150,"ot; OTHER
This"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_47,"[OTHER]
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_252,"DANGER

"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_205,[OTHER] The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_348,ot; [OTHER
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_128,[EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_254,DANGER> The
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_161,ot; The scene described
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_136,OTHER. The scene
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_24,"ot; OTHER

"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_72,ef{OTHER}
1895_Lermina-Jules_L-enigme.txt_chunk_16,"OTHER

The"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_162,ef{OTHER}
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_112,{EXPLORATION
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_171,[OTHER]: The
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_26,OTHER. The scene
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_210,"OTHER[/
"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_27,[EXPLORATION
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_209,[EXPLORATION
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_118,"ot; OTHER

"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_182,ef{OTHER}
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_48,"[OTHER]
"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_132,"[OTHER]
"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_100,[EXPLORATION
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_22,OTHER. The scene
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_106,ot; [OTHER
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_112,OTHER\] The scene
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_42, DANGER
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_90,"DANGER

"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_8,ot; EXPLOR
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_187,"[OTHER]
"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_9,"ot; OTHER

"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_4,OTHER[/	
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_12,"ot; OTHER

"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_247,": OTHER

The"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_159,"OTHER

The"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_280,ruby> [OT
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_60,"OTHER>

"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_228,OTHER[/	
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_164,[OTHER] The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_204,"ot; OTHER

"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_153,"ot; OTHER

"
1895_Lermina-Jules_L-enigme.txt_chunk_5,[OTHER] The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_103,"OTHER

The"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_94,[OTHER] The
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_154,"ot; OTHER

"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_269,ef{OTHER}
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_5,ing [EXPLOR
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_99,ot; The scene described
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_147,"OTHER>

"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_135,"{OTHER}
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_335,OTHER{Other}
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_67,"ot; OTHER

"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_50,DANGER> The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_212,"ot;OTHER
"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_26,[EXPLORATION
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_183,OTHER[/The
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_65,[DANGER]
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_88,t: [OTHER
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_102,ef{OTHER}
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_144,ol> [OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_1,ot; OTHER. The
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_143,"ot; OTHER
User"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_251,DANGER\.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_73,[OTHER] The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_195,OTHER. The scene
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_213,ot;OTHER;
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_138,[OTHER] The
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_98,"[OTHER]
"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_7,OTHER[/The
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_19,"OTHER[]
The"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_43,"{OTHER}
"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_151,OTHER\] This scene
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_114,: [OTHER]
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_14,"OTHER

The"
